trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
42,False,"{'a': 0.2, 'e': 0.6822212072876135}",25,0,-57.871011210399615,"{0: 17, 1: 2, 2: 5, 3: 1, 4: 0}",0
43,False,"{'a': 0.2, 'e': 0.6674628258413081}",20,0,11.159619927608114,"{0: 18, 1: 1, 2: 1, 3: 0, 4: 0}",0
44,False,"{'a': 0.2, 'e': 0.6524374681640519}",25,0,-33.692776904147834,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
45,False,"{'a': 0.2, 'e': 0.6371511441985802}",25,0,-39.37696002351575,"{0: 18, 1: 1, 2: 6, 3: 0, 4: 0}",0
46,False,"{'a': 0.2, 'e': 0.6216099682706644}",20,0,-133.69017960744625,"{0: 13, 1: 1, 2: 3, 3: 0, 4: 3}",0
47,False,"{'a': 0.2, 'e': 0.6058201566434628}",20,15,2.8550625886641097,"{0: 4, 1: 1, 2: 0, 3: 0, 4: 0}",1
48,False,"{'a': 0.2, 'e': 0.5897880250310982}",25,0,-26.535132805157083,"{0: 22, 1: 1, 2: 1, 3: 0, 4: 1}",0
49,False,"{'a': 0.2, 'e': 0.5735199860724567}",20,0,-31.99885290068977,"{0: 15, 1: 0, 2: 5, 3: 0, 4: 0}",0
50,False,"{'a': 0.2, 'e': 0.5570225467662173}",20,4,4.354343480896901,"{0: 14, 1: 1, 2: 1, 3: 0, 4: 0}",1
51,False,"{'a': 0.2, 'e': 0.5403023058681397}",20,0,-55.9694307019398,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
52,False,"{'a': 0.2, 'e': 0.5233659512516495}",30,0,-25.727866782165172,"{0: 24, 1: 0, 2: 6, 3: 0, 4: 0}",0
53,False,"{'a': 0.2, 'e': 0.5062202572327784}",20,0,-47.68742336337331,"{0: 15, 1: 2, 2: 2, 3: 0, 4: 1}",0
54,False,"{'a': 0.2, 'e': 0.4888720818605275}",20,0,-95.15296269058645,"{0: 15, 1: 1, 2: 1, 3: 1, 4: 2}",0
55,False,"{'a': 0.2, 'e': 0.47132836417373997}",20,13,9.885567361429114,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
56,False,"{'a': 0.2, 'e': 0.4535961214255773}",20,11,12.18434086703935,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
57,False,"{'a': 0.2, 'e': 0.4356824462767121}",25,0,16.651778347996114,"{0: 23, 1: 1, 2: 1, 3: 0, 4: 0}",0
58,False,"{'a': 0.2, 'e': 0.41759450395835795}",25,7,-16.33928306943174,"{0: 15, 1: 0, 2: 2, 3: 1, 4: 0}",1
59,False,"{'a': 0.2, 'e': 0.3993395294062732}",30,2,-97.40024985206091,"{0: 24, 1: 0, 2: 1, 3: 0, 4: 3}",1
60,False,"{'a': 0.2, 'e': 0.38092482436688185}",30,8,12.174344097198713,"{0: 20, 1: 0, 2: 2, 3: 0, 4: 0}",1
61,False,"{'a': 0.2, 'e': 0.3623577544766736}",25,17,14.449971961187877,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
62,False,"{'a': 0.2, 'e': 0.34364574631604705}",30,19,-9.987117365903153,"{0: 8, 1: 1, 2: 2, 3: 0, 4: 0}",1
63,False,"{'a': 0.2, 'e': 0.32479628443877623}",20,4,4.795358201815228,"{0: 13, 1: 3, 2: 0, 3: 0, 4: 0}",1
64,False,"{'a': 0.2, 'e': 0.30581690837828934}",20,14,2.6838494144858114,"{0: 5, 1: 1, 2: 0, 3: 0, 4: 0}",1
65,False,"{'a': 0.2, 'e': 0.2867152096319555}",25,18,-0.7908738145296681,"{0: 5, 1: 2, 2: 0, 3: 0, 4: 0}",1
